ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
-0.09,-1.06,0.16,-43.82,6.16,-0.79,59.0,-9.0,-9.0,1.0757787876696585,1.5270556636874768,0.3026000636829385,Normal
0.11,-0.66,0.32,90.58,-6.41,-50.17,70.0,-8.0,-6.0,0.7416872656315464,1.5253579907680688,0.305763775418786,Normal
0.26,0.2,0.29,-81.48,22.16,-78.12,67.0,-7.0,-3.0,0.43783558557979274,1.522227643948171,0.3142667496555895,Normal
0.9,0.69,2.19,-35.03,255.13,-101.01,62.0,-9.0,0.0,2.466211669747753,1.5385142183288394,0.3238227311492529,Normal
0.78,-0.02,0.49,-178.34,224.79,-142.27,62.0,-35.0,17.0,0.9213576938409967,1.5375828432965815,0.3250938601940521,Normal
0.89,-0.72,0.0,-40.16,-193.18,120.54,63.0,-56.0,17.0,1.1447707194019245,1.5377171391384046,0.3249860449865836,Normal
0.45,0.66,2.34,-47.12,-233.4,4.39,66.0,-28.0,10.0,2.472589735479786,1.553460974727077,0.33480829129021833,Normal
0.4,-0.38,1.05,10.01,-76.48,23.93,67.0,-17.0,6.0,1.1861281549647154,1.5565888988425942,0.3292376122283071,Normal
0.4,-0.15,1.34,-38.51,-165.89,160.83,67.0,-8.0,-1.0,1.4064494303031305,1.5564276404638926,0.32924932958122827,Normal
0.05,-0.74,1.1,48.22,-202.64,125.73,63.0,0.0,-10.0,1.3266876045248934,1.5546851771339432,0.32934554499743346,Normal
0.17,0.76,2.56,14.53,-8.91,183.23,64.0,-3.0,-14.0,2.6758363178640057,1.5748031623031495,0.3416209600179507,Normal
-0.08,0.22,1.62,27.53,-13.0,118.29,57.0,-6.0,-11.0,1.63682619724881,1.5806248764333681,0.3388634319813186,Normal
-0.31,0.53,1.21,77.15,-2.08,108.09,55.0,-5.0,-14.0,1.3568714014231416,1.5803974183729863,0.33891673947515655,Normal
-0.17,0.03,1.79,-19.17,-35.77,122.56,56.0,-9.0,-17.0,1.7983047572644633,1.5829229292672464,0.33991510876438336,Normal
0.11,-0.34,1.17,22.4,-36.25,77.09,58.0,-9.0,-12.0,1.2233560397529413,1.5838693127906736,0.33909277242357194,Normal
0.19,-0.63,0.45,35.16,-45.23,-18.25,60.0,-11.0,-7.0,0.7971825386948713,1.5839116136956632,0.33897649977560446,Normal
0.55,-0.7,0.67,-67.5,-93.93,49.07,70.0,-5.0,2.0,1.1141813137905339,1.5779610261346761,0.3393753132488696,Normal
0.48,-0.78,1.25,0.37,-141.3,79.9,68.0,-4.0,-1.0,1.549612854876985,1.5832990873489443,0.3354753192640749,Normal
0.32,-0.74,0.77,-139.4,-155.15,-12.45,61.0,-3.0,-3.0,1.114854250563723,1.579613560336831,0.33670361090864837,Normal
0.65,-1.63,0.32,-98.63,-72.39,1.65,60.0,-1.0,-7.0,1.783760073552494,1.580442659510303,0.3371212186528969,Normal
-0.03,-1.76,-1.06,-321.78,-159.67,33.14,72.0,0.0,-7.0,2.0547749268472204,1.5911049619682542,0.3373286028213057,Normal
-0.25,-2.33,-2.24,-235.11,-186.04,-20.32,60.0,-8.0,-2.0,3.241758781896025,1.618832604069982,0.367736303032473,Normal
-0.11,-2.39,-0.62,-366.94,-147.03,-60.3,50.0,-5.0,-1.0,2.4715582129498794,1.6326579556049088,0.3765384624827019,Normal
-0.44,-2.63,-0.95,-369.38,-120.48,-15.75,50.0,-2.0,-11.0,2.8307242889409063,1.655222945708523,0.38803273346517075,Normal
-0.37,-2.1,-0.78,-76.6,-62.01,31.01,61.0,0.0,-18.0,2.270528572821756,1.658141730974768,0.3908503942969438,Normal
-0.52,-0.92,0.25,-11.47,49.26,-100.04,56.0,0.0,-17.0,1.0859558002055147,1.6554627751779862,0.39279355147611134,Normal
-0.17,-0.49,0.75,-231.93,65.12,-64.09,53.0,-7.0,-15.0,0.9118662182579196,1.655807657911993,0.39193509560515083,Normal
-0.03,-0.38,0.65,-118.16,51.45,-87.83,60.0,-7.0,-8.0,0.7535250493513803,1.6491043023411225,0.39782452051648,Normal
-0.11,0.58,1.28,37.35,97.17,-135.19,60.0,-3.0,0.0,1.4095744038538724,1.653119172957594,0.392803378052222,Normal
0.25,1.0,1.26,114.38,60.49,-36.44,55.0,-3.0,-8.0,1.627912774076056,1.652787645161955,0.39272680468570204,Normal
0.58,0.9,2.51,7.2,25.27,13.12,58.0,-6.0,-11.0,2.7288275870783774,1.6677730660974233,0.40707565803099194,Normal
0.41,2.16,2.01,44.07,115.72,-39.61,63.0,-2.0,-14.0,2.978892411618788,1.693021263894816,0.4188326278168174,Normal
0.34,2.11,1.65,21.06,55.85,-2.62,67.0,2.0,-3.0,2.700037036783014,1.7062432417448576,0.43160711990185135,Normal
0.01,2.27,1.98,-41.32,-1.16,27.83,67.0,-6.0,-10.0,3.012208492120026,1.7301153140759147,0.4478240433777165,Normal
-0.32,2.26,1.17,-43.4,-7.57,-26.25,61.0,-10.0,-12.0,2.564936646391095,1.7428316040283407,0.45700843741998404,Normal
-0.44,2.18,0.92,116.15,17.82,15.99,65.0,26.0,-23.0,2.4067405344157895,1.7462766103913778,0.46056075978246436,Normal
-0.63,1.68,1.11,102.66,6.9,-1.16,76.0,79.0,-58.0,2.109834116702069,1.7572302068881012,0.45599396684261256,Normal
-0.35,1.23,1.33,84.96,31.92,1.83,56.0,0.0,-28.0,1.8450745242401456,1.759332828091376,0.45648361410814586,Normal
0.14,0.55,1.2,-1.77,19.04,92.9,60.0,-7.0,-15.0,1.3274411474713295,1.7605325898715987,0.45516452857051487,Normal
0.33,0.0,1.54,88.44,-13.24,63.23,67.0,-5.0,-10.0,1.574960316960399,1.7645948543504255,0.4514820189962775,Normal
0.31,-0.19,1.06,65.73,-47.79,16.78,68.0,-4.0,-12.0,1.1206248257110853,1.748598009835308,0.4440238664577047,Normal
0.4,-1.14,-0.17,-34.3,-133.42,-87.1,60.0,-2.0,-6.0,1.2200409829181968,1.7485688433687705,0.4440572406306611,Normal
0.52,-1.66,-0.11,-166.63,-115.78,-40.47,58.0,-4.0,-16.0,1.7430146298869669,1.7536556104321053,0.4416809836215891,Normal
0.6,-2.12,-0.24,-331.54,-58.47,97.72,72.0,-4.0,-14.0,2.216303228351211,1.7616906652417725,0.4448368924052212,Normal
0.08,-2.32,-0.69,-264.59,-105.65,79.65,73.0,-10.0,-8.0,2.4217555615709854,1.7768899797117432,0.442018282721782,Normal
-0.25,-1.9,-0.41,-134.64,-86.36,114.62,63.0,-8.0,-11.0,1.9597448813557339,1.773782117397737,0.43965327580579433,Normal
-0.44,-1.48,-0.82,-70.19,-12.7,-7.26,59.0,0.0,-19.0,1.7482562741200158,1.7777519512012916,0.43840228214308846,Normal
-0.29,0.59,0.83,-132.93,62.26,-29.42,60.0,2.0,-13.0,1.0588200980336555,1.779997471908317,0.4300628187172765,Normal
0.08,0.57,0.64,155.21,8.0,-21.61,63.0,-7.0,-17.0,0.8607554821202128,1.771567102878127,0.43556381654268633,Normal
0.16,0.29,0.83,-24.41,-11.35,3.3,62.0,-10.0,-8.0,0.8936442245099556,1.7692094279649315,0.439893983014849,Normal
0.33,-0.75,0.87,93.51,-79.04,60.61,66.0,-11.0,-13.0,1.1951150572225253,1.7695440090599615,0.4394114665697936,Normal
0.17,-0.51,0.74,-34.36,-81.05,26.37,69.0,-11.0,-8.0,0.91465840618233,1.752277089960375,0.4345959250808385,Normal
0.07,-0.4,0.42,13.92,-24.17,-23.93,69.0,-7.0,-10.0,0.5842088667591412,1.7506144635527263,0.4410702752152713,Normal
-0.03,0.25,0.99,-37.41,12.82,-61.22,64.0,1.0,-16.0,1.021518477561713,1.750402239486684,0.44149018378833516,Normal
-0.19,0.03,0.68,40.95,108.89,-64.76,61.0,-4.0,-18.0,0.7066823897621902,1.7465543220867763,0.4491911775524557,Normal
-0.18,0.56,1.06,-0.12,91.37,-13.61,59.0,-2.0,-20.0,1.212270596855339,1.7488073078529836,0.4445305772780061,Normal
0.21,0.65,1.66,55.24,62.07,36.5,63.0,-1.0,-21.0,1.7950487458562232,1.7394539373033133,0.4360825711732123,Normal
0.15,1.26,2.41,94.42,55.3,98.51,67.0,0.0,-15.0,2.7236372739408603,1.7554802761637625,0.4477089835631249,Normal
-0.13,0.88,1.32,148.07,-44.37,123.17,71.0,2.0,-15.0,1.5917600321656529,1.7566146418608721,0.4474493707688939,Normal
0.04,0.46,1.54,73.55,-56.09,106.99,68.0,-5.0,-22.0,1.6077313208369115,1.7591287616317346,0.44639950836908576,Normal
-0.03,-0.15,1.3,-34.36,-25.39,116.82,64.0,-8.0,-20.0,1.3089690599857584,1.761250124201557,0.44321218659493705,Normal
-0.11,-0.06,1.47,52.43,-45.9,143.13,62.0,-6.0,-22.0,1.4753304714537687,1.753705220383403,0.44017740144345496,Normal
-0.13,-0.93,-0.01,-78.8,-85.94,54.81,56.0,-5.0,-14.0,0.939095309327014,1.7481678981150521,0.44483986654056173,Normal
-0.23,-1.06,-0.46,-8.24,-46.02,4.03,56.0,-8.0,-20.0,1.1781765572273113,1.7493741738118804,0.4427191544441979,Normal
-0.31,-0.92,-0.22,-28.56,-5.13,-17.46,45.0,-10.0,-24.0,0.9954396013822235,1.7441791765756176,0.4465719495522098,Normal
-0.21,-0.41,0.56,-114.99,46.08,-47.55,46.0,-11.0,-20.0,0.7251206796113321,1.7430708534078585,0.45015560129264115,Normal
-0.15,0.05,0.97,-135.93,50.11,-42.54,57.0,-9.0,-12.0,0.9828021163998376,1.7456626249078027,0.43534517553897084,Normal
0.01,1.25,2.07,-31.31,72.27,-32.65,58.0,-10.0,-19.0,2.4181604578687494,1.760223849400979,0.4358051275567359,Normal
0.07,1.66,1.89,76.05,46.75,-10.31,67.0,-10.0,-14.0,2.5164657756464717,1.77422800113176,0.4413956032697489,Normal
0.35,-0.07,0.9,132.32,-19.35,-3.85,72.0,-8.0,-8.0,0.9681941953967707,1.7667328603951422,0.4453316906419457,Normal
-0.02,0.01,0.85,71.78,23.01,-39.0,63.0,0.0,-14.0,0.8502940667792525,1.7661157946182353,0.44708920173213607,Normal
-0.03,0.44,1.0,61.46,145.2,-77.21,59.0,2.0,-20.0,1.092931836849856,1.7535010692896655,0.4444061117844301,Normal
0.1,0.73,1.65,156.25,179.93,32.41,60.0,0.0,-22.0,1.8070417814760122,1.74961224275552,0.4419194984195119,Normal
0.23,0.81,2.16,62.93,141.6,45.1,60.0,2.0,-11.0,2.3183183560503506,1.7606654991792166,0.4451334145995625,Normal
0.3,0.87,2.07,104.06,89.6,108.09,84.0,17.0,2.0,2.2653476554383434,1.7720324489128296,0.4457233645091487,Normal
0.33,0.12,1.2,-29.72,132.63,9.95,85.0,-7.0,19.0,1.2503199590504823,1.7559800682240103,0.4360311330141542,Normal
0.46,0.24,0.71,-46.51,117.8,-5.55,65.0,-28.0,18.0,0.8793747778962051,1.7470240410480904,0.44034593463534066,Normal
0.73,0.28,0.57,70.37,153.32,-35.1,53.0,-50.0,19.0,0.9675742865537508,1.7392656496349257,0.4436691099533552,Normal
0.94,0.02,0.27,-27.4,33.02,-42.72,53.0,-56.0,18.0,0.9782126558167196,1.737126650535303,0.44673177866363506,Normal
0.76,0.18,-0.05,-2.75,-69.76,26.79,55.0,-53.0,17.0,0.7826237921249264,1.713292444388873,0.4341773151225149,Normal
0.44,0.32,0.14,-53.04,-189.39,5.49,59.0,-45.0,14.0,0.5617828762075255,1.7001861662770934,0.4407375811696946,Normal
0.3,2.51,2.87,258.54,166.44,-65.73,58.0,-15.0,-2.0,3.824526114435617,1.726083427879429,0.48503456882840446,Normal
-0.48,0.84,1.15,178.34,56.52,-23.93,53.0,-10.0,-12.0,1.5028306624500312,1.727386175700153,0.484530814648984,Normal
-0.09,1.31,1.71,95.83,-4.09,8.42,54.0,-9.0,-14.0,2.155991651189772,1.735745373031425,0.4871096168677397,Normal
0.05,0.85,2.1,127.56,-42.72,82.03,60.0,-11.0,-15.0,2.266053838724932,1.7432833963529855,0.49166848964920074,Normal
0.14,1.05,1.73,151.49,-27.83,49.07,73.0,-2.0,-34.0,2.0285462775100793,1.7455357343807087,0.49301970819300883,Normal
0.06,0.69,2.52,118.29,-51.64,87.28,60.0,-2.0,-42.0,2.613446000972662,1.7564170916954776,0.5031318659180937,Normal
0.22,0.78,2.46,109.13,20.51,82.76,68.0,-2.0,-24.0,2.5900579144104094,1.7697643910984309,0.5123483362835215,Normal
0.29,-0.06,1.96,8.24,-31.19,113.4,64.0,-1.0,-16.0,1.9822462006521793,1.77895952736424,0.5070072379304112,Normal
-0.09,0.44,0.94,-135.13,5.13,24.66,64.0,0.0,-16.0,1.0417773274553443,1.7742908442529934,0.5104792546454839,Normal
-0.1,0.16,0.47,-37.9,-13.18,8.67,68.0,-1.0,-17.0,0.506458290484024,1.7688086386039616,0.522829428526033,Normal
0.02,0.2,1.19,-67.14,9.95,16.36,69.0,0.0,-15.0,1.2068554180182478,1.7691054236534351,0.5224432083616387,Normal
-0.1,1.27,1.18,12.27,-2.56,-27.4,66.0,1.0,-15.0,1.7364619201122724,1.771663342737553,0.5223095562547712,Normal
-0.16,0.9,1.1,21.06,48.77,-68.79,66.0,0.0,-13.0,1.43024473430249,1.7520462322667174,0.5033583589149222,Normal
-0.33,0.34,0.87,144.65,79.47,-84.47,64.0,1.0,-9.0,0.9906563480844405,1.7410470987311055,0.5034572585059188,Normal
-0.05,0.7,1.78,1.89,64.33,-109.01,67.0,1.0,-18.0,1.9133478512805766,1.7401933800586649,0.5029029525764257,Normal
-0.04,0.13,1.58,-12.21,55.97,-93.51,67.0,0.0,-15.0,1.5858436240689056,1.7436430253925257,0.5008850347566033,Normal
-0.1,1.01,1.25,134.83,0.55,-16.91,69.0,3.0,-19.0,1.6101552720157146,1.7460924946863499,0.5001044215167707,Normal
-0.26,0.75,1.79,176.94,36.99,239.75,56.0,4.0,-7.0,1.9581113349347632,1.7501014256322405,0.5013831226522496,Normal
-0.29,1.92,1.28,94.6,51.82,-60.24,66.0,0.0,-17.0,2.3257041944323014,1.7609537188694087,0.5054076341014795,Normal
-0.28,2.15,1.8,144.59,49.32,-2.44,68.0,-1.0,-22.0,2.817960255220077,1.780110670716852,0.5168644885290026,Normal
-0.08,2.19,1.48,264.4,91.31,10.68,63.0,0.0,-9.0,2.644409196777231,1.7981162365097536,0.5189199601512529,Normal
-0.01,1.81,1.51,72.51,21.73,3.72,65.0,3.0,-11.0,2.3571805191796407,1.8129721454010264,0.5087929272782109,Normal
-0.21,1.81,0.96,160.52,-13.73,3.66,69.0,4.0,-18.0,2.0595630604572417,1.8078893771467326,0.5038914629705462,Normal
0.34,0.69,1.76,169.74,6.84,155.27,68.0,2.0,-13.0,1.920755059865781,1.8157279531912265,0.49888124017104357,Normal
-0.27,2.11,1.9,-8.42,14.47,71.11,54.0,-6.0,-6.0,2.8521921393903322,1.8344244328944161,0.5097720150413185,Normal
-0.19,0.64,1.43,63.23,-11.47,70.56,53.0,-9.0,-16.0,1.578163489629639,1.824522403260645,0.503654399890902,Normal
-0.3,0.37,1.17,19.96,10.01,17.58,56.0,-10.0,-13.0,1.2632497773599645,1.8250399995616535,0.5029407747714212,Normal
-0.08,0.4,0.85,-33.57,3.11,-15.62,54.0,-11.0,-10.0,0.942814934120159,1.8220535118376735,0.5076816459197908,Normal
0.06,0.36,1.03,-1.71,-15.87,-26.31,58.0,-10.0,-7.0,1.092748827498799,1.8204996566876908,0.5098914734440861,Normal
0.12,0.06,1.1,62.87,3.54,-39.31,64.0,-10.0,-5.0,1.1081516141756056,1.8041335870716446,0.5028068682630138,Normal
0.2,-0.64,1.37,178.34,94.54,86.12,64.0,-8.0,-2.0,1.5252868582663395,1.8031558446235312,0.5029845274528724,Normal
0.39,-0.03,1.99,103.64,-159.48,30.33,53.0,-7.0,0.0,2.028077907773762,1.8094449425169035,0.5033882885133875,Normal
0.22,-0.67,0.9,-108.15,-193.18,15.87,54.0,-1.0,-13.0,1.1433722053644648,1.8041133556403819,0.5059278530586212,Normal
0.41,-0.9,2.23,-49.19,-79.83,214.23,66.0,-3.0,-23.0,2.4394671549336344,1.816416527121464,0.510001853994121,Normal
0.47,0.96,1.9,85.08,22.46,180.66,64.0,-3.0,-22.0,2.180022935659164,1.8277141461399264,0.5046946117365312,Normal
0.23,0.36,1.61,32.1,26.0,157.96,66.0,-1.0,-12.0,1.6657130605239308,1.831903654671828,0.501370882430387,Normal
-0.03,0.64,1.11,49.26,12.33,107.85,57.0,-11.0,-6.0,1.281639574919564,1.8298316862487654,0.5028544454407092,Normal
0.07,-0.08,0.47,-104.68,29.97,55.05,57.0,-13.0,-3.0,0.4818713521262703,1.827067869565879,0.5141944588411214,Normal
0.05,0.16,0.88,109.8,56.52,-16.3,54.0,-10.0,-3.0,0.8958236433584459,1.8205449733527597,0.5202533891094103,Normal
0.07,-0.08,0.74,-44.37,-19.04,-19.17,50.0,-8.0,0.0,0.7475961476626267,1.8104562960756605,0.52726196278512,Normal
-0.29,-0.11,1.08,108.83,-190.86,189.94,47.0,-11.0,-16.0,1.123654751247019,1.784737515714846,0.5044442787092884,Normal
-0.4,0.05,1.05,1.4,-96.31,210.88,35.0,-16.0,-26.0,1.1247221879201994,1.7711160323366733,0.4999274415703493,Normal
-0.35,0.12,1.07,-47.97,18.62,70.01,71.0,-17.0,-21.0,1.1321660655575223,1.7520102739424788,0.48741855960371555,Normal
-0.32,0.14,1.11,-18.55,24.48,39.61,104.0,114.0,22.0,1.1636580253665594,1.7411283697648487,0.4848646259309539,Normal
-0.21,0.14,1.05,10.62,39.55,23.99,-152.0,61.0,60.0,1.079907403437906,1.74109075007594,0.48492747836041195,Normal
-0.1,0.08,1.03,-13.0,47.18,21.48,-83.0,-32.0,10.0,1.0379306335203715,1.741796486389842,0.48334080688498615,Normal
0.0,0.07,1.05,25.82,72.51,40.41,-31.0,-52.0,-13.0,1.0523307464861036,1.7433447737036984,0.4791327075706119,Normal
0.1,0.13,1.19,22.64,77.15,39.0,-9.0,-53.0,-19.0,1.20124934963562,1.7417841427685576,0.480374577489679,Normal
0.35,-0.03,1.28,26.92,117.07,16.17,2.0,-56.0,-17.0,1.327328143301422,1.739232301907942,0.4811052525087638,Normal
0.44,-0.07,0.83,10.38,173.22,-18.49,3.0,-60.0,-22.0,0.9420191080864548,1.7202726528082692,0.47215630323508156,Normal
0.69,-0.11,0.6,-32.84,237.61,-38.09,2.0,-64.0,-24.0,0.92097774131626,1.6967857849475285,0.45628964350594664,Normal
0.77,-0.15,-0.08,6.41,181.09,-59.63,1.0,-62.0,-39.0,0.7885429601486529,1.6770205723246212,0.4487266810316251,Normal
0.78,-0.43,-0.26,-53.16,117.37,-5.68,-1.0,-57.0,-31.0,0.9278469701410896,1.6523537756788043,0.4301330272604808,Normal
0.67,-0.56,-0.55,-163.45,79.65,-0.61,2.0,-59.0,-25.0,1.0319883720275147,1.6355836878619203,0.421211311234999,Normal
0.65,-0.67,-0.36,-103.58,81.12,-13.31,7.0,-60.0,-13.0,1.000499875062461,1.6208701366858482,0.4153039000783629,Normal
0.64,-0.77,-0.37,-116.58,49.8,16.54,19.0,-59.0,-1.0,1.0674268124794317,1.610620998248812,0.4130886107468443,Normal
0.66,-0.97,-0.28,-119.45,35.71,9.7,26.0,-63.0,0.0,1.2061923561356207,1.6045578830319585,0.4124354643850751,Normal
0.65,-0.98,-0.25,-73.85,35.77,15.38,31.0,-66.0,3.0,1.2022478945708326,1.6035707031496926,0.4129573896579782,Normal
0.76,-0.96,-0.14,-63.35,21.61,74.46,41.0,-68.0,6.0,1.2323960402403118,1.6005692737273198,0.4134085427985457,Normal
0.74,-0.84,-0.28,-47.18,-28.56,168.21,54.0,-71.0,12.0,1.1539497389401325,1.6008060469650904,0.41318635273004883,Normal
0.64,-0.37,-0.3,-45.59,-182.86,189.76,63.0,-61.0,14.0,0.7978095010715277,1.5981426719789444,0.4170798654635083,Normal
0.42,0.34,0.46,-66.04,-217.83,134.7,68.0,-38.0,14.0,0.7096477999684069,1.5901933844661786,0.42191830111962164,Normal
0.24,0.56,0.75,3.23,-129.21,96.44,67.0,-22.0,8.0,0.9662815324738437,1.5776349387611825,0.41826649669274774,Normal
0.13,0.55,0.94,55.36,-65.67,39.06,60.0,-8.0,-5.0,1.096813566655701,1.5627901330632978,0.40955464313294515,Normal
0.03,0.3,1.13,15.75,-27.16,-3.17,60.0,-10.0,-10.0,1.1695298200559059,1.5548585144636151,0.4072972697801308,Normal
0.0,0.16,1.1,103.94,14.77,-16.6,55.0,-8.0,-15.0,1.1115754585272204,1.5489922530471223,0.4071195456116876,Normal
0.01,-0.03,1.05,102.6,31.31,-43.82,52.0,-12.0,-10.0,1.0504760825454333,1.5489354408754419,0.4071799301792712,Normal
0.06,-0.14,1.02,55.05,48.34,-45.65,62.0,-12.0,-10.0,1.031309846748299,1.5499767740195336,0.40556861656155124,Normal
0.17,-0.29,1.01,10.01,41.5,-19.84,50.0,-17.0,0.0,1.0644716999526103,1.5510554471069047,0.40406280436899045,Normal
0.24,-0.21,0.86,-4.52,23.25,0.49,44.0,-12.0,0.0,0.9172240729505522,1.5491620315512513,0.4060764546849969,Normal
0.26,-0.16,0.78,-14.47,-0.12,8.48,41.0,-9.0,-4.0,0.8376156636548769,1.5487262508267883,0.40691216481140785,Normal
0.31,0.02,0.8,-45.29,-25.39,7.02,36.0,-4.0,-2.0,0.858195781858662,1.5500016129023868,0.4030771029912195,Normal
0.25,0.09,0.81,-40.89,-38.39,-5.31,44.0,-10.0,3.0,0.8524670081592601,1.5489793413728925,0.4047081862162477,Normal
0.09,-0.07,0.88,13.31,-80.75,33.75,60.0,-10.0,-7.0,0.8873556220591606,1.5499087069888986,0.402453859854641,Normal
0.08,-0.14,1.29,37.35,-14.77,76.05,59.0,-5.0,-14.0,1.3000384609695208,1.550619876049575,0.4021704558504404,Normal
0.03,0.14,1.16,-80.38,7.87,19.59,51.0,-5.0,-17.0,1.1688028062936877,1.5446232550366448,0.40130222276734645,Normal
-0.03,0.32,1.06,-73.24,-8.12,-21.06,54.0,-4.0,-16.0,1.1076551810017412,1.5244500647774593,0.3845365279370448,Normal
0.05,0.21,0.97,21.42,-13.06,-6.65,52.0,-5.0,-16.0,0.9937303457175894,1.5193702642871487,0.3857237936947161,Normal
0.1,-0.01,1.2,174.26,17.94,-25.02,53.0,-6.0,-11.0,1.2042009799032718,1.5156315515322318,0.38556110473111493,Normal
0.07,-0.03,0.99,-23.62,11.96,-41.44,54.0,-6.0,-17.0,0.9929249719893241,1.5132296587101377,0.38703894372450715,Normal
0.07,0.01,1.0,-1.53,4.52,-9.64,56.0,-7.0,-12.0,1.002496882788171,1.5093535039877173,0.38837198662721084,Normal
0.08,0.01,1.01,-0.61,0.98,-4.82,57.0,-7.0,-13.0,1.0132127121192271,1.5098327721969742,0.3877725794663633,Normal
0.08,0.01,1.01,-0.73,0.61,-4.21,56.0,-9.0,-8.0,1.0132127121192271,1.5086351447583342,0.38870679077328907,Normal
0.08,0.01,1.01,-0.98,0.61,-3.11,57.0,-7.0,-14.0,1.0132127121192271,1.5087534589852645,0.3885735975226852,Normal
0.09,0.01,1.01,-0.67,0.49,-1.28,57.0,-8.0,-16.0,1.014051280754578,1.5104178229880632,0.38561289917396974,Normal
0.09,0.01,1.01,-0.85,0.37,-1.53,57.0,-7.0,-12.0,1.014051280754578,1.5106243742241152,0.38537301214391456,Normal
0.09,0.01,1.01,-0.55,0.37,-0.31,56.0,-9.0,-11.0,1.014051280754578,1.4945882376092754,0.3755994973599183,Normal
0.09,0.01,1.01,-0.49,0.31,-0.12,56.0,-6.0,-11.0,1.014051280754578,1.4767366048148194,0.3632087502028227,Normal
0.09,0.01,1.01,-0.49,0.31,-0.18,57.0,-8.0,-13.0,1.014051280754578,1.4770443459828821,0.3628765267623539,Normal
0.09,0.01,1.01,-0.43,0.31,-0.06,58.0,-8.0,-12.0,1.014051280754578,1.478077467523269,0.3614916581134319,Normal
0.09,0.01,1.01,-0.61,0.24,-0.12,56.0,-8.0,-12.0,1.014051280754578,1.4775151437464187,0.3619660873787702,Normal
0.09,0.01,1.01,-0.49,0.24,-0.18,59.0,-5.0,-13.0,1.014051280754578,1.469925168163332,0.36094568928300236,Normal
0.09,0.01,1.01,-0.43,0.18,0.0,58.0,-9.0,-14.0,1.014051280754578,1.455065977885539,0.3522553235896691,Normal
0.09,0.01,1.01,-0.61,0.18,-0.06,58.0,-8.0,-10.0,1.014051280754578,1.44089624886735,0.3442644118788437,Normal
0.09,0.01,1.01,-0.67,0.18,-0.06,58.0,-8.0,-15.0,1.014051280754578,1.4390385679334659,0.345142490145991,Normal
0.09,0.01,1.01,-0.49,0.24,-0.12,56.0,-9.0,-9.0,1.014051280754578,1.4399243035659897,0.34413873286896723,Normal
0.09,0.01,1.01,-0.55,0.12,-0.06,58.0,-6.0,-13.0,1.014051280754578,1.4402440765370292,0.3438328913353895,Normal
